iter	Passed	Remaining
0	2	1465
1	4	1167
2	6	1028
3	7	972
4	9	926
5	11	923
6	13	958
7	15	942
8	17	945
9	18	923
10	20	912
11	22	903
12	24	911
13	26	910
14	28	909
15	29	904
16	31	899
17	33	893
18	34	884
19	36	878
20	38	875
21	40	874
22	41	870
23	44	872
24	45	867
25	47	864
26	49	860
27	50	856
28	52	851
29	54	849
30	56	849
31	58	852
32	60	862
33	64	883
34	67	892
35	69	895
36	72	902
37	74	901
38	76	900
39	78	898
40	79	894
41	81	892
42	84	896
43	86	892
44	87	888
45	89	885
46	91	881
47	93	877
48	94	873
49	96	869
50	98	865
51	100	861
52	101	858
53	103	854
54	105	850
55	106	846
56	108	843
57	110	839
58	112	842
59	114	838
60	115	834
61	117	831
62	120	834
63	122	831
64	123	829
65	125	827
66	127	824
67	129	820
68	131	819
69	133	817
70	135	815
71	136	812
72	138	811
73	140	809
74	142	809
75	144	807
76	146	804
77	148	803
78	151	808
79	155	816
80	157	816
81	159	814
82	161	812
83	163	811
84	165	808
85	167	806
86	169	804
87	171	803
88	173	800
89	175	799
90	177	797
91	179	795
92	181	792
93	182	789
94	184	786
95	186	783
96	187	781
97	189	778
98	191	775
99	193	772
100	194	769
101	196	766
102	198	764
103	200	763
104	202	760
105	204	759
106	206	758
107	208	757
108	210	756
109	212	753
110	214	750
111	215	747
112	217	745
113	220	745
114	222	743
115	224	742
116	225	739
117	227	736
118	229	733
119	230	730
120	232	728
121	234	727
122	236	725
123	238	723
124	240	721
125	242	718
126	243	716
127	245	713
128	247	711
129	249	709
130	251	708
131	253	706
132	255	704
133	257	703
134	259	701
135	261	698
136	262	696
137	264	694
138	266	692
139	268	689
140	269	687
141	271	684
142	273	682
143	275	682
144	277	680
145	279	677
146	281	675
147	282	672
148	284	670
149	286	668
150	288	666
151	290	664
152	292	662
153	294	661
154	296	660
155	298	658
156	300	655
157	301	653
158	303	650
159	305	648
160	306	646
161	308	643
162	310	641
163	312	639
164	314	637
165	316	635
166	318	634
